config,V1_early_concat,V2_early_xattn,V3_late_xattn,V4_late_concat
baseline,1.680730770396835,1.6010199511307324,1.645952001263967,
bs128_safe,,1.6010199511307324,1.645952001263967,
bs32,1.6562694343403963,1.5611969664496104,1.5600608009659398,1.5602782652524085
bs64,1.680730770396835,1.6010199511307324,1.645952001263967,
cold_drug,1.5598420703236586,1.6071721241955128,1.6111110821482,1.612547780813331
cold_target,1.687823986177777,1.6541234144124692,1.74717502028191,1.731161751509678
dm128,1.680730770396835,1.6010199511307324,1.645952001263967,1.5988104900110702
dm256,,,,1.5337710123694686
dm256_bs16,,1.2882366485348649,1.2636711265665985,
dm64,1.6749494739142647,1.6949874150932236,1.639055996424008,
do01,1.680730770396835,1.6010199511307324,1.645952001263967,1.5988104900110702
do02,1.9002937476649835,1.7086096849650658,1.6821026303329285,1.7061119494983008
do03,2.362888196291977,1.916715685717774,1.7272371927066805,
h2,1.7075058427320944,1.5823739712916647,1.6143579406254522,1.5689726182939643
h8,,,,1.641962237414951
h8_bs32,,1.601432280047947,1.5542663583650327,
l4,1.657936247478634,1.595330248256583,1.6151059262420473,1.6749203617764
l6,1.680730770396835,1.6010199511307324,1.645952001263967,1.5988104900110702
l8,,,,1.6148921399270764
l8_bs32,,1.5479330119231411,1.5460504615237478,
lr1e4,1.680730770396835,1.6010199511307324,1.645952001263967,1.5988104900110702
lr3e4,1.5040856796849822,1.4651786372085933,1.4288510545753172,1.4432820188612312
lr5e5,1.7356990760943174,1.644022293331381,1.6686782213962155,1.6892070092066636
seed123,1.4394669347138354,1.371274056341106,1.4632247880237708,1.4413512730344378
seed42,1.680730770396835,1.6010199511307324,1.645952001263967,1.5988104900110702
seed456,1.5057204892203213,1.4222791712739462,1.518213282127337,1.513674297388955
