tag,variant,split,seed,best_val_mse,run_type
baseline,late_concat,random,42,1.2305733191881716,full
bs32_fast,late_concat,random,42,1.5602782652524085,fast
bs64,late_concat,random,42,1.2305733191881716,full
cold_drug_fast,late_concat,cold_drug,42,1.612547780813331,fast
cold_target_fast,late_concat,cold_target,42,1.731161751509678,fast
dm128_fast,late_concat,random,42,1.5988104900110702,fast
dm256_fast,late_concat,random,42,1.5337710123694686,fast
dm64,late_concat,random,42,1.3905580168872127,full
do01_fast,late_concat,random,42,1.5988104900110702,fast
do02_fast,late_concat,random,42,1.7061119494983008,fast
do03,late_concat,random,42,1.455907552190908,full
h2_fast,late_concat,random,42,1.5689726182939643,fast
h8_fast,late_concat,random,42,1.641962237414951,fast
l4_fast,late_concat,random,42,1.6749203617764,fast
l6_fast,late_concat,random,42,1.5988104900110702,fast
l8_fast,late_concat,random,42,1.6148921399270764,fast
lr1e4_fast,late_concat,random,42,1.5988104900110702,fast
lr3e4_fast,late_concat,random,42,1.4432820188612312,fast
lr5e5_fast,late_concat,random,42,1.6892070092066636,fast
repro_baseline,late_concat,random,42,1.2305733191881716,full
seed123_fast,late_concat,random,123,1.4413512730344378,fast
seed42_fast,late_concat,random,42,1.5988104900110702,fast
seed456_fast,late_concat,random,456,1.513674297388955,fast
