variant,split,seed,best_val_mse
early_concat,cold_drug,123,1.290473433041696
early_concat,cold_drug,42,1.5207701667047546
early_concat,cold_drug,456,1.2204028096844364
early_concat,cold_target,123,1.2000738883720152
early_concat,cold_target,42,1.1698114508277597
early_concat,cold_target,456,1.2935864244684747
early_concat,random,123,0.850204236159387
early_concat,random,42,0.759846460821505
early_concat,random,456,0.8645027390213387
early_crossattn,cold_drug,123,1.3660906535575075
early_crossattn,cold_drug,42,1.6157688960194552
early_crossattn,cold_drug,456,1.259944889854339
early_crossattn,cold_target,123,1.2454075929039206
early_crossattn,cold_target,42,1.0432193334811997
early_crossattn,cold_target,456,1.40640758142665
early_crossattn,random,123,0.8590751167195959
early_crossattn,random,42,0.7621204057097319
early_crossattn,random,456,0.8536785120965258
late_concat,cold_drug,123,1.43896895846148
late_concat,cold_drug,42,1.603646801666895
late_concat,cold_drug,456,1.2534151861307081
late_concat,cold_target,123,1.1735099744281456
late_concat,cold_target,42,1.1038663533082405
late_concat,cold_target,456,1.3282317945922042
late_concat,random,123,0.8147703175411013
late_concat,random,42,0.786494959817177
late_concat,random,456,0.8232641077358208
late_crossattn,cold_drug,123,1.3825773889860862
late_crossattn,cold_drug,42,1.5139649855161448
late_crossattn,cold_drug,456,1.2013872210521848
late_crossattn,cold_target,123,1.2954209700414419
late_crossattn,cold_target,42,1.0709083662111432
late_crossattn,cold_target,456,1.4321376895505595
late_crossattn,random,123,0.79616427425179
late_crossattn,random,42,0.7437401294226325
late_crossattn,random,456,0.8255342455246192
