tag,variant,split,seed,best_val_mse,notes
v2_baseline_fast,early_crossattn,random,42,1.6010199511307324,
v2_bs128_safe_fast,early_crossattn,random,42,1.6010199511307324,rerun_smaller_batch
v2_bs32_fast,early_crossattn,random,42,1.5611969664496104,rerun_smaller_batch
v2_bs64_fast,early_crossattn,random,42,1.6010199511307324,
v2_cold_drug_fast,early_crossattn,cold_drug,42,1.6071721241955128,
v2_cold_target_fast,early_crossattn,cold_target,42,1.6541234144124692,
v2_dm128_fast,early_crossattn,random,42,1.6010199511307324,
v2_dm256_bs16_fast,early_crossattn,random,42,1.2882366485348649,rerun_smaller_batch
v2_dm64_fast,early_crossattn,random,42,1.6949874150932236,
v2_do01_fast,early_crossattn,random,42,1.6010199511307324,
v2_do02_fast,early_crossattn,random,42,1.7086096849650658,
v2_do03_fast,early_crossattn,random,42,1.916715685717774,
v2_h2_fast,early_crossattn,random,42,1.5823739712916647,
v2_h8_bs32_fast,early_crossattn,random,42,1.601432280047947,rerun_smaller_batch
v2_l4_fast,early_crossattn,random,42,1.595330248256583,
v2_l6_fast,early_crossattn,random,42,1.6010199511307324,
v2_l8_bs32_fast,early_crossattn,random,42,1.5479330119231411,rerun_smaller_batch
v2_lr1e4_fast,early_crossattn,random,42,1.6010199511307324,
v2_lr3e4_fast,early_crossattn,random,42,1.4651786372085933,
v2_lr5e5_fast,early_crossattn,random,42,1.644022293331381,
v2_seed123_fast,early_crossattn,random,123,1.371274056341106,
v2_seed42_fast,early_crossattn,random,42,1.6010199511307324,
v2_seed456_fast,early_crossattn,random,456,1.4222791712739462,
