/scratch/tt3124/ComparisionPDI/.venv/bin/python
Python 3.9.18
torch: 2.7.1+cu118
cuda: True
gpu count: 2
[seeds] Seed set to 42
[train.py] 2 GPUs detected → batch_size 64 → 128 (total), num_workers 4 → 8
[BindingDBKiDataset] Loading dataset/BindingDB/BindingDB_PDSPKi.tsv …
[BindingDBKiDataset] 27715 raw rows → 21382 valid rows (6333 dropped)
[train.py] Split 'random': train=17,105 | val=2,138 | test=2,139
[train.py] LateConcatDTI: 1,299,457 trainable parameters
[Trainer] DataParallel enabled across 2 GPUs: ['NVIDIA A100-SXM4-40GB', 'NVIDIA A100-SXM4-40GB']

────────────────────────────────────────────────────────────
  Variant : late_concat
  Device  : cuda  (2 GPU(s) active)
  Split   : random  |  Seed: 42
  Params  : 1,299,457
────────────────────────────────────────────────────────────
Ep   1/30 | loss=31.8706 | val_mse=2.0047 | ci=0.5087 | r=0.0521 | lr=6.67e-05 | 32.7s
Ep   2/30 | loss=2.2334 | val_mse=1.9514 | ci=0.5923 | r=0.2818 | lr=9.99e-05 | 26.1s
Ep   3/30 | loss=2.0625 | val_mse=1.9083 | ci=0.6007 | r=0.3076 | lr=9.93e-05 | 26.0s
Ep   4/30 | loss=1.9652 | val_mse=1.6227 | ci=0.6115 | r=0.3386 | lr=9.81e-05 | 26.1s
Ep   5/30 | loss=1.9478 | val_mse=1.5951 | ci=0.6196 | r=0.3569 | lr=9.63e-05 | 26.2s
Ep   6/30 | loss=1.8997 | val_mse=1.5613 | ci=0.6255 | r=0.3755 | lr=9.40e-05 | 26.1s
Ep   7/30 | loss=1.8565 | val_mse=1.5529 | ci=0.6325 | r=0.3962 | lr=9.11e-05 | 26.1s
Ep   8/30 | loss=1.8814 | val_mse=1.5318 | ci=0.6413 | r=0.4121 | lr=8.77e-05 | 26.1s
Ep   9/30 | loss=1.8136 | val_mse=1.6317 | ci=0.6449 | r=0.4169 | lr=8.39e-05 | 26.1s
Ep  10/30 | loss=1.7720 | val_mse=1.4674 | ci=0.6548 | r=0.4433 | lr=7.96e-05 | 26.2s
Ep  11/30 | loss=1.7872 | val_mse=1.5655 | ci=0.6553 | r=0.4469 | lr=7.50e-05 | 26.1s
Ep  12/30 | loss=1.7243 | val_mse=1.5283 | ci=0.6599 | r=0.4639 | lr=7.01e-05 | 26.1s
Ep  13/30 | loss=1.7235 | val_mse=1.4109 | ci=0.6647 | r=0.4749 | lr=6.49e-05 | 26.2s
Ep  14/30 | loss=1.6952 | val_mse=1.4797 | ci=0.6659 | r=0.4799 | lr=5.96e-05 | 26.2s
Ep  15/30 | loss=1.6915 | val_mse=1.4867 | ci=0.6680 | r=0.4860 | lr=5.41e-05 | 26.2s
Ep  16/30 | loss=1.6563 | val_mse=1.3718 | ci=0.6734 | r=0.4983 | lr=4.86e-05 | 26.1s
Ep  17/30 | loss=1.6547 | val_mse=1.5298 | ci=0.6747 | r=0.4990 | lr=4.31e-05 | 26.1s
Ep  18/30 | loss=1.6493 | val_mse=1.3708 | ci=0.6764 | r=0.5061 | lr=3.77e-05 | 26.2s
Ep  19/30 | loss=1.6201 | val_mse=1.3572 | ci=0.6754 | r=0.5055 | lr=3.25e-05 | 26.2s
Ep  20/30 | loss=1.6039 | val_mse=1.4910 | ci=0.6767 | r=0.5058 | lr=2.74e-05 | 26.2s
Ep  21/30 | loss=1.6053 | val_mse=1.3571 | ci=0.6768 | r=0.5080 | lr=2.27e-05 | 26.1s
Ep  22/30 | loss=1.5741 | val_mse=1.3957 | ci=0.6805 | r=0.5156 | lr=1.82e-05 | 26.2s
Ep  23/30 | loss=1.5842 | val_mse=1.3661 | ci=0.6815 | r=0.5188 | lr=1.42e-05 | 26.1s
Ep  24/30 | loss=1.5751 | val_mse=1.3492 | ci=0.6807 | r=0.5167 | lr=1.05e-05 | 26.1s
Ep  25/30 | loss=1.5624 | val_mse=1.3770 | ci=0.6821 | r=0.5206 | lr=7.40e-06 | 26.2s
Ep  26/30 | loss=1.5565 | val_mse=1.3475 | ci=0.6823 | r=0.5217 | lr=4.78e-06 | 26.2s
Ep  27/30 | loss=1.5672 | val_mse=1.3557 | ci=0.6821 | r=0.5207 | lr=2.71e-06 | 26.1s
Ep  28/30 | loss=1.5667 | val_mse=1.3558 | ci=0.6824 | r=0.5216 | lr=1.21e-06 | 26.2s
Ep  29/30 | loss=1.5536 | val_mse=1.3563 | ci=0.6821 | r=0.5206 | lr=3.03e-07 | 26.2s
Ep  30/30 | loss=1.5568 | val_mse=1.3580 | ci=0.6821 | r=0.5207 | lr=0.00e+00 | 26.1s
  [Trainer] Epoch log saved → outputs/logs/late_concat_history.csv

[train.py] Done. Results → outputs/results/results.csv
