/scratch/tt3124/ComparisionPDI/.venv/bin/python
Python 3.9.18
torch: 2.7.1+cu118
cuda: True
gpu count: 2
[seeds] Seed set to 42
[train.py] 2 GPUs detected → batch_size 64 → 128 (total), num_workers 4 → 8
[BindingDBKiDataset] Loading dataset/BindingDB/BindingDB_PDSPKi.tsv …
[BindingDBKiDataset] 27715 raw rows → 21382 valid rows (6333 dropped)
[train.py] Split 'random': train=17,105 | val=2,138 | test=2,139
[train.py] LateCrossAttnDTI: 1,432,065 trainable parameters
[Trainer] DataParallel enabled across 2 GPUs: ['NVIDIA A100-SXM4-40GB', 'NVIDIA A100-SXM4-40GB']

────────────────────────────────────────────────────────────
  Variant : late_crossattn
  Device  : cuda  (2 GPU(s) active)
  Split   : random  |  Seed: 42
  Params  : 1,432,065
────────────────────────────────────────────────────────────
Ep   1/30 | loss=31.4964 | val_mse=2.0465 | ci=0.5140 | r=0.0620 | lr=6.67e-05 | 34.2s
Ep   2/30 | loss=2.2405 | val_mse=1.9022 | ci=0.5958 | r=0.2929 | lr=9.99e-05 | 28.3s
Ep   3/30 | loss=2.0917 | val_mse=1.6392 | ci=0.6041 | r=0.3209 | lr=9.93e-05 | 28.5s
Ep   4/30 | loss=2.0120 | val_mse=1.6159 | ci=0.6152 | r=0.3470 | lr=9.81e-05 | 28.2s
Ep   5/30 | loss=1.9581 | val_mse=1.8565 | ci=0.6259 | r=0.3678 | lr=9.63e-05 | 28.3s
Ep   6/30 | loss=1.9312 | val_mse=1.5414 | ci=0.6355 | r=0.3993 | lr=9.40e-05 | 28.2s
Ep   7/30 | loss=1.8872 | val_mse=1.5399 | ci=0.6418 | r=0.4162 | lr=9.11e-05 | 28.2s
Ep   8/30 | loss=1.8933 | val_mse=1.7588 | ci=0.6448 | r=0.4224 | lr=8.77e-05 | 28.3s
Ep   9/30 | loss=1.8703 | val_mse=2.0021 | ci=0.6516 | r=0.4433 | lr=8.39e-05 | 28.2s
Ep  10/30 | loss=1.8029 | val_mse=1.4789 | ci=0.6554 | r=0.4508 | lr=7.96e-05 | 28.3s
Ep  11/30 | loss=1.7666 | val_mse=1.5160 | ci=0.6596 | r=0.4589 | lr=7.50e-05 | 28.2s
Ep  12/30 | loss=1.7563 | val_mse=1.6699 | ci=0.6625 | r=0.4697 | lr=7.01e-05 | 28.2s
Ep  13/30 | loss=1.7475 | val_mse=1.3894 | ci=0.6685 | r=0.4857 | lr=6.49e-05 | 28.3s
Ep  14/30 | loss=1.7085 | val_mse=1.4297 | ci=0.6669 | r=0.4805 | lr=5.96e-05 | 28.2s
Ep  15/30 | loss=1.6754 | val_mse=1.3655 | ci=0.6749 | r=0.5010 | lr=5.41e-05 | 28.2s
Ep  16/30 | loss=1.6462 | val_mse=1.4340 | ci=0.6728 | r=0.4995 | lr=4.86e-05 | 28.3s
Ep  17/30 | loss=1.6496 | val_mse=1.3885 | ci=0.6790 | r=0.5136 | lr=4.31e-05 | 28.2s
Ep  18/30 | loss=1.6352 | val_mse=1.3495 | ci=0.6763 | r=0.5097 | lr=3.77e-05 | 28.2s
Ep  19/30 | loss=1.6121 | val_mse=1.3743 | ci=0.6775 | r=0.5142 | lr=3.25e-05 | 28.2s
Ep  20/30 | loss=1.5960 | val_mse=1.3207 | ci=0.6823 | r=0.5233 | lr=2.74e-05 | 28.3s
Ep  21/30 | loss=1.5684 | val_mse=1.3198 | ci=0.6835 | r=0.5282 | lr=2.27e-05 | 28.3s
Ep  22/30 | loss=1.5813 | val_mse=1.3283 | ci=0.6839 | r=0.5293 | lr=1.82e-05 | 28.2s
Ep  23/30 | loss=1.5681 | val_mse=1.3272 | ci=0.6862 | r=0.5326 | lr=1.42e-05 | 28.2s
Ep  24/30 | loss=1.5510 | val_mse=1.3164 | ci=0.6868 | r=0.5353 | lr=1.05e-05 | 28.3s
Ep  25/30 | loss=1.5493 | val_mse=1.3103 | ci=0.6875 | r=0.5370 | lr=7.40e-06 | 28.1s
Ep  26/30 | loss=1.5454 | val_mse=1.3114 | ci=0.6881 | r=0.5384 | lr=4.78e-06 | 28.1s
Ep  27/30 | loss=1.5283 | val_mse=1.2972 | ci=0.6885 | r=0.5399 | lr=2.71e-06 | 28.1s
Ep  28/30 | loss=1.5305 | val_mse=1.2986 | ci=0.6882 | r=0.5397 | lr=1.21e-06 | 28.2s
Ep  29/30 | loss=1.5506 | val_mse=1.2962 | ci=0.6883 | r=0.5397 | lr=3.03e-07 | 28.1s
Ep  30/30 | loss=1.5302 | val_mse=1.2947 | ci=0.6883 | r=0.5396 | lr=0.00e+00 | 28.2s
  [Trainer] Epoch log saved → outputs/logs/late_crossattn_history.csv

[train.py] Done. Results → outputs/results/results.csv
